Text,Sentiment,cleaned_text,Cluster
Having a string of bad luck with constant technology malfunctions. Tech troubles galore!,Good,string bad luck constant technology malfunctions tech troubles galore,1
Missing out on a long-anticipated event due to unexpected circumstances. A day filled with sadness.,Good,missing long anticipated event due unexpected circumstances day filled sadness,1
Trying out a new study technique for upcoming exams. Exploring different learning strategies.,Okayish,trying new study technique upcoming exams exploring different learning strategies,2
Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness.,Good,organizing community cleanup event cleaner neighborhood promoting environmental awareness,1
Sharing favorite book recommendations with classmates. Building a mini book club.,Good,sharing favorite book recommendations classmates building mini book club,1
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen.,Okayish,experimenting new recipe school bake sale baking adventures kitchen,2
Collaborating on a school project with peers. Teamwork makes the dream work.,Okayish,collaborating school project peers teamwork makes dream work,2
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities.,Okayish,attending school club meeting explore new interests dabbling extracurricular activities,2
Exploring a new part-time job opportunity for gaining work experience. Career development in progress.,Okayish,exploring new part time job opportunity gaining work experience career development progress,2
Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities.,Good,attending school assembly stay informed upcoming events announcements staying connected school activities,1
Exploring a new hobby of photography during free time. Capturing moments through a lens.,Okayish,exploring new hobby photography free time capturing moments lens,2
Participating in a science fair to showcase a unique experiment. Sharing knowledge with peers.,Good,participating science fair showcase unique experiment sharing knowledge peers,1
Attending a workshop on time management to enhance organizational skills. Striving for efficiency.,Good,attending workshop time management enhance organizational skills striving efficiency,1
Volunteering at a local charity event to give back to the community. Contributing to social causes.,Good,volunteering local charity event give back community contributing social causes,1
Collaborating on a group project to promote teamwork and shared responsibilities. Group effort in action.,Okayish,collaborating group project promote teamwork shared responsibilities group effort action,2
Participating in a debate club to enhance critical thinking and communication skills. Intellectual engagement in progress.,Good,participating debate club enhance critical thinking communication skills intellectual engagement progress,1
Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around!,Good,celebrating friend birthday surprise party joyful moments laughter around,1
Successfully completing a challenging coding project. Excitement for overcoming coding hurdles!,Okayish,successfully completing challenging coding project excitement overcoming coding hurdles,2
Attending a school talent show to support classmates. Applauding the diverse talents on display!,Good,attending school talent show support classmates applauding diverse talents display,1
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",Okayish,exploring new hiking trail friends weekend nature laughter good vibes,2
Winning a friendly sports competition against rival schools. Victory celebrations in full swing!,Good,winning friendly sports competition rival schools victory celebrations full swing,1
Receiving a heartfelt letter from a pen pal in another country. Connecting across the globe!,Good,receiving heartfelt letter pen pal another country connecting across globe,1
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity!,Good,creating beautiful mural fellow art enthusiasts power collaboration creativity,1
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes!,Good,participating school wide art exhibition witnessing creativity spreading positive vibes,1
Achieving a personal best in a track and field competition. The thrill of victory and self-improvement!,Good,achieving personal best track field competition thrill victory self improvement,1
Collaborating on a science project that received recognition at a regional fair. Science triumphs and smiles!,Okayish,collaborating science project received recognition regional fair science triumphs smiles,2
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",Good,attending surprise birthday party organized friends surrounded love laughter good company,1
Successfully fundraising for a school charity initiative. The joy of giving back to the community!,Good,successfully fundraising school charity initiative joy giving back community,1
"Participating in a multicultural festival, celebrating diversity with music, dance, and delicious food! ",Good,participating multicultural festival celebrating diversity music dance delicious food,1
"Organizing a virtual talent show during challenging times, bringing smiles to classmates' faces! ",Good,organizing virtual talent show challenging times bringing smiles classmates faces,1
